threshold,coverage,automatic_accuracy,automatic_tickets
0.5877272301333203,0.6091137123745819,0.9811256005490734,2914
0.5903350800429259,0.607232441471572,0.9817555938037866,2905
0.5918028971570387,0.6051421404682275,0.981692573402418,2895
0.5927132377843387,0.6032608695652174,0.9816354816354816,2886
0.5947435567416456,0.6011705685618729,0.9822670375521557,2876
0.5963587006521703,0.5992892976588629,0.9832577607254971,2867
0.597883044818175,0.5971989966555183,0.9835491774588729,2857
0.5999828968018509,0.595108695652174,0.9838426413768879,2847
0.6011753968206288,0.5932274247491639,0.9841437632135307,2838
0.6031474185390783,0.5911371237458194,0.9840876944837341,2828
0.6048617139284218,0.5892558528428093,0.9840368925150763,2819
0.6068151555020158,0.5871655518394648,0.9846920612317551,2809
0.607946638886058,0.5852842809364549,0.9846428571428572,2800
0.6104655382652628,0.5831939799331104,0.9845878136200716,2790
0.6115083607430126,0.5813127090301003,0.9848975188781014,2781
0.6129413340218134,0.5792224080267558,0.9852038975099242,2771
0.6146734332407177,0.5773411371237458,0.9855177407675597,2762
0.6159357117463513,0.5752508361204013,0.985828488372093,2752
0.6180827072830566,0.5733695652173914,0.986146554866934,2743
0.6197227636540616,0.5712792642140468,0.9860958653494328,2733
0.6215596680082938,0.5691889632107023,0.987146529562982,2723
0.6228443297858609,0.5673076923076923,0.9871039056742815,2714
0.6247347453735939,0.5652173913043478,0.9870562130177515,2704
0.6253337367529483,0.5633361204013378,0.987012987012987,2695
0.6280355365393718,0.5612458193979933,0.9873370577281192,2685
0.6289649065332289,0.5593645484949833,0.9872944693572496,2676
0.6308313300009548,0.5572742474916388,0.9872468117029257,2666
0.6319478832492315,0.5553929765886287,0.9875799774181407,2657
0.6331613029721159,0.5533026755852842,0.9875330562901398,2647
0.634819396433148,0.5514214046822743,0.9874905231235784,2638
0.6360977136458461,0.5493311036789298,0.9882039573820396,2628
0.6371450565037884,0.5474498327759197,0.9881634211531118,2619
0.6379778894747018,0.5453595317725752,0.9885013415101571,2609
0.6394107505013786,0.5432692307692307,0.9888418622547134,2599
0.6405305866166237,0.5413879598662207,0.9888030888030888,2590
0.6416759147529296,0.5392976588628763,0.9891472868217054,2580
0.6424917587523961,0.5374163879598662,0.9891092959937767,2571
0.643534705402403,0.5353260869565217,0.9890667707926591,2561
0.6444216440960364,0.5334448160535117,0.9890282131661442,2552
0.6454684879161674,0.5313545150501672,0.988985051140834,2542
0.6469509009821948,0.5294732441471572,0.9889459139360443,2533
0.6478975455180218,0.5273829431438127,0.988902100673801,2523
0.6490272096792032,0.5255016722408027,0.9888623707239459,2514
0.6503637608122064,0.5234113712374582,0.9892172523961661,2504
