threshold,automatic_accuracy,coverage,automatic_tickets
0.570625163476428,0.8268575323790047,0.598531211750306,1467
0.5744528389805863,0.8284145504461222,0.5944512443900449,1457
0.580762782823579,0.82930200414651,0.5903712770297838,1447
0.5856177991067121,0.8295059151009047,0.5862913096695227,1437
0.5907898647667098,0.8298319327731093,0.5826193390452876,1428
0.602189249768538,0.8321579689703809,0.5785393716850266,1418
0.6090793319486928,0.8323863636363636,0.5744594043247654,1408
0.6145910013285385,0.8354792560801144,0.5703794369645043,1398
0.6203239171695527,0.8351331893448524,0.5667074663402693,1389
0.6302018530338493,0.8375634517766497,0.5626274989800082,1379
0.633240746272233,0.8392987582176772,0.558547531619747,1369
0.6402259936156075,0.8389705882352941,0.554875560995512,1360
0.6463970534293237,0.8392592592592593,0.5507955936352509,1350
0.653754790277313,0.8388059701492537,0.5467156262749898,1340
0.6610789583391945,0.8413533834586466,0.5426356589147286,1330
0.6666159756958016,0.8440575321725965,0.5389636882904937,1321
0.6724374001992734,0.8443935926773455,0.5348837209302325,1311
0.6793918049253088,0.8455034588777863,0.5308037535699714,1301
0.684829153944845,0.8474051123160341,0.5267237862097103,1291
0.6913649419088488,0.8478939157566303,0.5230518155854753,1282
0.6971020613616552,0.8474842767295597,0.5189718482252142,1272
0.7041343162741963,0.8478605388272583,0.5148918808649531,1262
0.7108302147959514,0.8482428115015974,0.510811913504692,1252
0.7138297386925149,0.8479485116653258,0.5071399428804569,1243
0.7218483263180066,0.8483373884833739,0.5030599755201959,1233
0.730846870446367,0.8495502861815208,0.4989800081599347,1223
0.7394698176030884,0.8491343775762572,0.4949000407996736,1213
0.7450642069076495,0.8496677740863787,0.49122807017543857,1204
0.7538000649433716,0.8492462311557789,0.48714810281517745,1194
0.7612820566211593,0.8505067567567568,0.48306813545491634,1184
0.7669487469450799,0.8500851788756388,0.4789881680946552,1174
0.7744222960519118,0.8540772532188842,0.47531619747042025,1165
0.7844863486599966,0.8545454545454545,0.47123623011015914,1155
0.7950922795205912,0.8550218340611354,0.467156262749898,1145
0.8010331307827456,0.8572687224669604,0.4630762953896369,1135
0.8072363392323676,0.8579040852575488,0.4594043247654019,1126
0.8210245574692349,0.8575268817204301,0.45532435740514077,1116
0.8297609381086972,0.8571428571428571,0.45124439004487965,1106
0.8389473183778483,0.8587055606198724,0.44757241942064463,1097
0.8446599166218789,0.858325666973321,0.4434924520603835,1087
0.8524881844481951,0.8597957288765088,0.4394124847001224,1077
0.8617121001614243,0.85941893158388,0.4353325173398613,1067
0.8672544911516218,0.8629489603024575,0.43166054671562626,1058
0.8766972531582287,0.8625954198473282,0.42758057935536514,1048
0.8812353758686264,0.8631984585741811,0.423500611995104,1038
0.8868191743071577,0.8667315175097277,0.4194206446348429,1028
0.8947980177095981,0.8684985279685966,0.4157486740106079,1019
0.902222200532217,0.8721506442021804,0.41166870665034677,1009
0.9075083449886978,0.8738738738738738,0.40758873929008566,999
0.912356555609771,0.8725985844287159,0.40350877192982454,989
0.9161448294528043,0.8724489795918368,0.3998368013055896,980
0.9238589530493595,0.8721649484536083,0.39575683394532846,970
0.9304885125059433,0.8729166666666667,0.39167686658506734,960
0.9359929184296296,0.8747368421052631,0.3875968992248062,950
0.9444869362775992,0.8756641870350691,0.3839249286005712,941
0.9494513334916098,0.8754027926960258,0.3798449612403101,931
0.9526132301131733,0.8740499457111836,0.37576499388004897,921
0.9621164069223777,0.8781558726673985,0.37168502651978785,911
0.9679307360451407,0.876940133037694,0.36801305589555283,902
0.9745514621371536,0.8778026905829597,0.3639330885352917,892
0.9890464487269363,0.8764172335600907,0.3598531211750306,882
0.9968867820412506,0.8784403669724771,0.3557731538147695,872
1.0008980116260655,0.880648899188876,0.35210118319053446,863
1.0085830494276329,0.8827667057444314,0.34802121583027334,853
1.0189298175540926,0.8825622775800712,0.34394124847001223,843
1.026321651767093,0.882494004796163,0.3402692778457772,834
1.033517766969298,0.8822815533980582,0.3361893104855161,824
