threshold,coverage,accuracy,tickets
0.92383846591279,0.8244234102119717,0.999353169469599,6184
0.925908955370273,0.8225569924010132,0.9993517017828201,6170
0.9276073399227943,0.8205572590321291,0.9993501218521528,6155
0.9292486493090669,0.8185575256632449,0.9993485342019544,6140
0.9309810062200032,0.8165577922943608,0.9993469387755102,6125
0.9324353729025908,0.8145580589254766,0.9995090016366612,6110
0.9342693949397766,0.8125583255565925,0.9995077932731747,6095
0.9366637706168446,0.8105585921877083,0.9995065789473684,6080
0.9386417219506847,0.8085588588188242,0.9995053586150041,6065
0.9399160434164064,0.80655912544994,0.999504132231405,6050
0.9415987457061818,0.8045593920810559,0.9995028997514499,6035
0.9429299472140522,0.8025596587121717,0.9995016611295681,6020
0.9439687804549206,0.8005599253432876,0.9995004163197335,6005
0.9453389827737836,0.7985601919744034,0.9994991652754591,5990
0.9465091159406313,0.7965604586055193,0.9994979079497908,5975
0.9476289732408794,0.7945607252366351,0.999496644295302,5960
0.9486576251551909,0.792560991867751,0.9994953742640875,5945
0.950284618519861,0.7905612584988668,0.9994940978077572,5930
0.951473305642181,0.7885615251299827,0.9994928148774302,5915
0.9525610803306755,0.7865617917610985,0.9994915254237288,5900
0.9534050095139833,0.7845620583922144,0.9994902293967715,5885
0.9542680980922817,0.7825623250233302,0.9996592844974447,5870
0.9549098080597499,0.7805625916544461,0.9996584116140051,5855
0.9556931841750704,0.7786961738434875,0.9996575928779319,5841
0.9565784467564464,0.7766964404746034,0.9996567112941984,5826
0.9578593720005436,0.7746967071057193,0.9996558251591808,5811
0.9591562475452149,0.7726969737368351,0.9996549344375432,5796
0.9597002195069957,0.770697240367951,0.9996540390935824,5781
0.960627166197118,0.7686975069990668,0.9996531390912244,5766
0.961620679714806,0.7666977736301827,0.9996522343940184,5751
0.9625983874519978,0.7646980402612985,0.9996513249651325,5736
0.9637964943839052,0.7626983068924144,0.9996504107673484,5721
0.9647962656000766,0.7606985735235302,0.9996494917630564,5706
0.9655153920317208,0.7586988401546461,0.9996485679142506,5691
0.9662504915009636,0.7566991067857619,0.9996476391825229,5676
0.9672100091593908,0.7546993734168778,0.9996467055290584,5661
0.9683505778555613,0.7526996400479936,0.9996457669146298,5646
0.968978870501438,0.7506999066791095,0.9996448232995916,5631
0.9695968437955477,0.7487001733102253,0.9996438746438746,5616
0.9702320002853506,0.7467004399413412,0.9996429209069809,5601
0.9709007728627447,0.744700706572457,0.9996419620479771,5586
0.9714794237403798,0.7427009732035729,0.9996409980254891,5571
0.9723786249252394,0.7407012398346887,0.9996400287976962,5556
0.9729860807077292,0.7387015064658046,0.9996390543223245,5541
0.973623015152757,0.7367017730969204,0.9996380745566413,5526
0.9741017982980446,0.7347020397280363,0.9996370894574488,5511
0.9745287394054136,0.7328356219170777,0.9996361651810078,5497
0.9751366598096466,0.7308358885481936,0.9996351696461145,5482
0.9760837618728615,0.7288361551793094,0.9996341686482532,5467
0.9765307248724439,0.7268364218104253,0.9996331621423331,5452
0.9768046939616609,0.7248366884415411,0.9996321500827662,5437
0.9774057824964666,0.722836955072657,0.99963113242346,5422
0.9779926921062758,0.7208372217037728,0.9996301091178103,5407
0.9785493668410474,0.7188374883348887,0.9996290801186943,5392
0.97909099630324,0.7168377549660045,0.9996280453784638,5377
0.9798191409397488,0.7148380215971204,0.999627004848937,5362
0.9802751933816203,0.7128382882282362,0.9996259584813915,5347
0.9809635499325531,0.7108385548593521,0.9996249062265566,5332
0.981158366903933,0.708838821490468,0.999623848034606,5317
0.9817565135001801,0.7068390881215838,0.999622783855149,5302
0.9822494251332043,0.7048393547526997,0.9996217136372234,5287
0.9824376135510239,0.7028396213838155,0.9996206373292867,5272
0.9828283854213811,0.7008398880149314,0.9996195548792087,5257
0.9832434948704322,0.6988401546460472,0.9996184662342618,5242
0.9835118867236402,0.6968404212771631,0.9996173713411135,5227
0.9839345223231982,0.6948406879082789,0.9996162701458173,5212
0.984197263857392,0.6928409545393948,0.9996151625938041,5197
0.984592070539412,0.6908412211705106,0.9996140486298727,5182
0.9849535997047318,0.6889748033595521,0.9996130030959752,5168
0.9851260428544705,0.6869750699906679,0.9998059382883757,5153
0.9855402004838975,0.6849753366217838,0.9998053717399766,5138
0.9858555192563504,0.6829756032528996,0.999804801873902,5123
0.9862201554931225,0.6809758698840155,0.999804228660924,5108
0.9866825004822585,0.6789761365151313,0.9998036520714706,5093
0.9869341570674877,0.6769764031462472,0.9998030720756204,5078
0.9873616770303408,0.674976669777363,0.999802488643097,5063
0.9876968585937634,0.6729769364084789,0.9998019017432647,5048
0.9879237720513125,0.6709772030395947,0.9998013113451222,5033
0.9883287017417848,0.6689774696707106,0.9998007174172977,5018
0.9886035482246416,0.6669777363018264,0.9998001199280432,5003
0.9888833490945486,0.6649780029329423,0.9997995188452286,4988
0.9892161584999443,0.6629782695640581,0.9997989141363363,4973
0.989451993934884,0.660978536195174,0.9997983057684551,4958
0.9895998256799613,0.6589788028262898,0.9997976937082743,4943
0.9898722240168084,0.6569790694574057,0.999797077922078,4928
0.9901224686950865,0.6549793360885215,0.9997964583757378,4913
0.9903161354202306,0.6529796027196374,0.999795835034708,4898
0.9904686009248264,0.6509798693507532,0.999795207864018,4883
0.990678582324417,0.6489801359818691,0.9997945768282662,4868
0.9908406283769139,0.646980402612985,0.9997939418916134,4853
0.9910713510320825,0.6451139848020264,0.9997933457325894,4839
0.9912729987423156,0.6431142514331423,0.9997927031509121,4824
0.9913846757868559,0.6411145180642581,0.9997920565606155,4809
0.9915425091516352,0.639114784695374,0.9997914059240718,4794
0.9917420563334239,0.6371150513264898,0.9997907512031806,4779
0.9919203129979248,0.6351153179576057,0.9997900923593619,4764
0.9920647126145778,0.6331155845887215,0.9997894293535481,4749
0.9921915952318561,0.6311158512198374,0.9997887621461766,4734
0.9923724690459322,0.6291161178509532,0.9997880906971816,4719
0.992525919126587,0.6271163844820691,0.9997874149659864,4704
0.9926223313494026,0.6251166511131849,0.999786734911495,4689
0.9927482092803186,0.6231169177443008,0.9997860504920839,4674
0.9928521522403967,0.6211171843754166,0.9997853616655935,4659
0.9929794248378601,0.6191174510065325,0.9997846683893196,4644
0.9931267215958369,0.6171177176376483,0.9997839706200043,4629
0.9932970581147417,0.6151179842687642,0.9997832683138275,4614
0.9934455304759378,0.61311825089988,0.999782561426397,4599
0.9936086469333042,0.6111185175309959,0.99978184991274,4584
0.993773333528295,0.6091187841621117,0.9997811337272926,4569
0.9938828073108258,0.6071190507932276,0.9997804128238911,4554
0.9940297719245497,0.6051193174243434,0.9997796871557612,4539
0.9941344892112737,0.6031195840554593,0.9997789566755084,4524
0.9943002648206233,0.6012531662445008,0.9997782705099778,4510
0.9944535105384535,0.5992534328756166,0.9997775305895439,4495
0.9945647082324891,0.5972536995067325,0.9997767857142857,4480
0.9946495161485023,0.5952539661378483,0.9997760358342666,4465
0.9947518097982269,0.5932542327689642,0.9997752808988764,4450
0.994804711546925,0.59125449940008,0.9997745208568207,4435
0.9949001804370016,0.5892547660311959,0.9997737556561086,4420
0.9949973858735073,0.5872550326623117,0.9997729852440409,4405
0.9951135955318265,0.5852552992934276,0.9997722095671981,4390
0.9952147650942422,0.5832555659245434,0.9997714285714285,4375
0.995302854436506,0.5812558325556593,0.9997706422018349,4360
0.9954406350490904,0.5792560991867751,0.9997698504027618,4345
0.9955181996002495,0.577256365817891,0.9997690531177829,4330
0.9956270426023819,0.5752566324490068,0.9997682502896872,4315
0.9957218479599582,0.5732568990801227,0.9997674418604651,4300
0.9957834798469141,0.5712571657112385,0.9997666277712952,4285
0.9958667579695634,0.5692574323423544,0.9997658079625292,4270
0.9959517668087507,0.5672576989734702,0.9997649823736781,4255
0.996016546495698,0.5652579656045861,0.9997641509433962,4240
0.9961015348041139,0.5632582322357019,0.9997633136094675,4225
0.9961860260356412,0.5612584988668178,0.9997624703087886,4210
0.9962723987192087,0.5592587654979336,0.999761620977354,4195
0.9963359129535886,0.5573923476869751,0.9997608227696724,4181
0.9963707154584984,0.555392614318091,0.999759961593855,4166
0.9964228677854575,0.5533928809492068,0.9997590941941701,4151
0.9964941283821275,0.5513931475803227,0.9997582205029013,4136
0.9966010599762307,0.5493934142114385,0.9997573404513468,4121
0.9966679362485195,0.5473936808425544,0.9997564539698003,4106
0.996726817392575,0.5453939474736702,0.9997555609875336,4091
0.9967768835706118,0.543394214104786,0.9997546614327772,4076
0.9968794306150032,0.5413944807359019,0.9997537552327013,4061
0.9969616369073967,0.5393947473670178,0.9997528423133959,4046
0.997002176710283,0.5373950139981336,0.9997519225998511,4031
0.9970495528600251,0.5353952806292495,0.9997509960159362,4016
0.997117300127292,0.5333955472603653,0.9997500624843789,4001
0.997176117366108,0.5313958138914812,0.9997491219267436,3986
0.9972143711408074,0.529396080522597,0.9997481742634097,3971
0.9972960539443095,0.5273963471537129,0.999747219413549,3956
0.9973370187322181,0.5253966137848287,0.9997462572951028,3941
0.9974009923329704,0.5233968804159446,0.999745287824758,3926
0.9974520466838084,0.5213971470470604,0.9997443109179238,3911
0.997520870480621,0.5193974136781763,0.9997433264887063,3896
0.9975572211417801,0.5173976803092921,0.999742334449884,3881
0.997602547826771,0.515397946940408,0.9997413347128815,3866
0.99764690118749,0.5135315291294494,0.9997403946002077,3852
0.9976788959352247,0.5115317957605653,0.9997393797237425,3837
0.997706925211268,0.5095320623916811,0.999738356881214,3822
0.9977650416506573,0.507532329022797,0.9997373259784608,3807
0.9978085493775095,0.5055325956539128,0.9997362869198312,3792
0.9978408015517441,0.5035328622850287,0.9997352396081546,3777
0.9978732628129554,0.5015331289161445,0.9997341839447103,3762
0.997917489966376,0.49953339554726034,0.9997331198291967,3747
0.9979578496059416,0.4975336621783762,0.9997320471596999,3732
0.9980059014980616,0.49553392880949204,0.9997309658326607,3717
0.9980529954878304,0.4935341954406079,0.9997298757428417,3702
0.9981011487723275,0.49153446207172374,0.9997287767832926,3687
0.998131531569249,0.4895347287028396,0.9997276688453159,3672
0.9981575897092139,0.48753499533395545,0.9997265518184304,3657
0.9981997641657554,0.4855352619650713,0.999725425590335,3642
0.9982314041045551,0.48353552859618715,0.9997242900468707,3627
0.9982626062799121,0.48153579522730305,0.9997231450719822,3612
0.998293774723408,0.4795360618584189,0.9997219905476786,3597
0.9983208638991997,0.47753632848953476,0.9997208263539922,3582
0.9983478120149498,0.4755365951206506,0.9997196523689375,3567
0.9983755320452536,0.47353686175176646,0.9997184684684685,3552
0.9984046188177242,0.4715371283828823,0.9997172745264349,3537
0.9984280171998388,0.46953739501399816,0.9997160704145373,3522
0.9984482804709383,0.4676709772030396,0.999714937286203,3508
0.9984821631385848,0.4656712438341554,0.9997137131405669,3493
0.9985108790350665,0.4636715104652713,0.9997124784358827,3478
0.998552789192962,0.4616717770963871,0.9997112330349408,3463
0.9985949597875293,0.459672043727503,1.0,3448
0.9986263991603218,0.45767231035861883,1.0,3433
0.9986472140104852,0.4556725769897347,1.0,3418
0.998674602807583,0.45367284362085053,1.0,3403
0.9987005763343793,0.4516731102519664,1.0,3388
0.998727198250405,0.44967337688308223,1.0,3373
0.9987551283855939,0.4476736435141981,1.0,3358
0.9987822101673042,0.44567391014531393,1.0,3343
0.9988040559036493,0.4436741767764298,1.0,3328
0.998821511617999,0.44167444340754564,1.0,3313
0.9988370789150595,0.4396747100386615,1.0,3298
0.9988660200055097,0.43767497666977734,1.0,3283
0.9988896887001184,0.4356752433008932,1.0,3268
0.9989143632895975,0.43367550993200904,1.0,3253
0.9989382901567508,0.4316757765631249,1.0,3238
0.9989624446883388,0.42967604319424074,1.0,3223
0.9989804730916088,0.4276763098253566,1.0,3208
0.9989990914301472,0.42567657645647244,1.0,3193
0.9990304225134095,0.4238101586455139,1.0,3179
0.9990519876875986,0.42181042527662976,1.0,3164
